prog_code,inst_name,prog_name,cutoff_2022,cutoff_2023,Cluster
1053293,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),22.851,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1053293,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),22.851,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1057293,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),21.653,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1057293,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),21.653,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1057293,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),21.653,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1057293,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),21.653,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1057293,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),21.653,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1087293,KISII UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1087293,KISII UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1087293,KISII UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1087293,KISII UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1105293,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),23.727,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1105293,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),23.727,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1105293,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),23.727,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1105293,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),23.727,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1105293,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),23.727,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1114293,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT),25.215,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1114293,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT),25.215,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1229293,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (ANIMAL SCIENCE, WITH IT)",25.008,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1253293,MOI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT),25.033,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1253293,MOI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT),25.033,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1117293,PWANI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1117293,PWANI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1117293,PWANI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1117293,PWANI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1117293,PWANI UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1279293,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1279293,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1279293,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1279293,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1279293,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),,,"General Science, Biological Sciences, Physics, Chemistry & Related"
1244293,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1244293,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1244293,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1244293,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1685293,THARAKA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1685293,THARAKA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1685293,THARAKA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1685293,THARAKA UNIVERSITY,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1053415,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),17.043,23.293,Education & Related
1053415,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),17.043,23.293,Education & Related
1053415,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),17.043,23.293,Education & Related
1053415,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),17.043,23.293,Education & Related
1114415,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),31.155,29.726,Education & Related
1114415,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),31.155,29.726,Education & Related
1114415,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),31.155,29.726,Education & Related
1114415,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),31.155,29.726,Education & Related
1118415,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),,,Education & Related
1118415,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),,,Education & Related
1118415,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),,,Education & Related
1118415,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),,,Education & Related
1240415,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION,26.202,23.133,Education & Related
1240415,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE AGRICULTURAL EXTENSION AND EDUCATION,26.202,23.133,Education & Related
1244415,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURAL EXTENSION EDUCATION,17.043,21.858,Education & Related
1253415,MOI UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),25.146,26.472,Education & Related
1253415,MOI UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),25.146,26.472,Education & Related
1253415,MOI UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),25.146,26.472,Education & Related
1253415,MOI UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION),25.146,26.472,Education & Related
1091415,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE EDUCATION & EXTENSION,17.043,21.858,Education & Related
